radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,
GSM,452,2,241,41222,0,106.701,10.7676,1000,20,1,1458908033,1732943703,0
GSM,452,2,241,41233,0,1.067.049,10.7697,810,48,1,1458908033,1732943703,0
GSM,452,2,241,41213,0,1.067.016,10.7745,1000,21,1,1458908033,1744645501,0
GSM,452,2,241,41373,0,1.066.999,10.7653,842,50,1,1458908033,1732943703,0
GSM,452,2,241,41372,0,1.067.014,10.7656,1341,23,1,1458908033,1739267342,0
GSM,452,2,254,54143,0,1.067.065,10.7696,1006,28,1,1458908043,1739443743,0
GSM,452,2,254,54121,0,1.067.453,10.7937,1000,6,1,1458908043,1739271721,0
GSM,452,2,254,54442,0,1.067.268,10.7774,7131,30,1,1458908043,1735218663,0
GSM,452,2,254,54443,0,1.067.271,10.7765,1574,28,1,1458908043,1735218663,0
GSM,452,4,20392,31331,0,1.066.707,10.799,959,30,1,1461123926,1744808342,0
GSM,452,4,20392,19971,0,1.066.814,10.79,500,29,1,1461481711,1744808342,0
GSM,452,4,20393,50378,0,1.066.844,10.7911,1000,11,1,1461481712,1744808342,0
GSM,452,4,20393,13338,0,1.066.784,10.7968,604,31,1,1461651785,1744808342,0
GSM,452,4,20393,46741,0,1.066.859,10.7988,899,35,1,1461651786,1744808342,0
GSM,452,4,20477,53867,0,106.629,10.8227,1000,19,1,1464788928,1738231866,0
GSM,452,4,20477,47351,0,1.066.259,10.8265,697,28,1,1464788928,1738231865,0
GSM,452,4,20521,64257,0,106.698,10.7819,1000,16,1,1464974506,1735808514,0
GSM,452,4,20373,46173,0,1.066.236,10.8116,1000,7,1,1465085246,1738231866,0
GSM,452,4,20475,9151,0,1.066.166,10.8095,1000,14,1,1465085247,1738231867,0
GSM,452,4,20475,29691,0,1.066.206,10.8026,747,26,1,1465085247,1738231867,0
GSM,452,4,20475,44688,0,1.066.187,10.8057,1000,16,1,1465085247,1738231867,0
GSM,452,4,20356,28581,0,1.067.595,10.8288,979,50,1,1465235984,1738381149,0
GSM,452,4,20453,52079,0,1.067.663,10.8132,1965,13,1,1465258078,1738381148,0
GSM,452,4,20392,6165,0,1.066.728,10.7962,1000,4,1,1465422172,1744808342,0
GSM,452,4,20506,64097,0,1.067.061,10.7723,1000,6,1,1465571122,1744645142,0
GSM,452,4,20507,41921,0,1.067.203,10.7639,3635,25,1,1465571122,1735808509,0
GSM,452,4,20506,64037,0,1.067.007,10.7726,1000,3,1,1465631285,1744645502,0
GSM,452,4,20506,21360,0,1.067.014,10.7618,1000,4,1,1466019344,1744431901,0
GSM,452,4,20507,43131,0,1.067.078,10.7649,1686,19,1,1466019344,1744382221,0
GSM,452,4,20521,23290,0,106.694,10.7819,1000,4,1,1466594742,1735808514,0
GSM,452,4,20616,11834,0,1.067.413,10.9438,1000,17,1,1466715754,1738381204,0
GSM,452,4,20616,65303,0,1.067.415,10.9317,1182,50,1,1466715760,1738381204,0
GSM,452,4,20616,13493,0,1.067.417,10.9274,1000,24,1,1466715760,1738381203,0
GSM,452,4,20615,3198,0,1.067.401,10.8961,1000,14,1,1466715765,1738381154,0
GSM,452,4,20616,65301,0,1.067.419,10.9381,1302,50,1,1466740031,1738381204,0
GSM,452,4,20615,53452,0,1.067.398,10.8988,1317,50,1,1466715765,1738381202,0
GSM,452,4,20615,53451,0,1.067.418,10.8995,980,26,1,1466715765,1738381201,0
